PAISES,INB,INVERSION,SALDO,interval,IDH
Afganistán,12.3439645533596,42975262.5,-3232893168.37268,Muy bajo,0.5111
Albania,63.7664595243345,1149927985.77737,-1425385680.43297,Alto,0.7956
Alemania,,19488312315.4146,278660794166.597,,0.9476
Andorra,,,,,0.8683
Angola,33.94364041394,3657514667.49327,-3747517596.21103,Bajo,0.5811
Argelia,2.64326506870264,1502206170.55838,-9264322928.81106,Muy bajo,0.7489
Argentina,29.8799341576294,5065335541.96486,-9179026266.87552,Bajo,0.8454
Armenia,70.522975109356,406578406.693112,-901811470.85351,Alto,0.7768
Australia,,63202728079.4529,-45400874920.3632,,0.9448
Austria,,1712175273.93122,10589968447.7841,,0.9221
Azerbaiyán,16.5522034110364,4430466000,10208803000,Muy bajo,0.7568
Bahamas,,251277428.82,-1885283210.82194,,0.8145
Barbados,,753687476.11428,-645562541.15423,,0.8145
Bélgica,,-15205871357.9654,4041465918.74957,,0.9311
Belice,84.1011973594179,141097030.34391,-135861423.197634,Muy Alto,0.7161
Bolivia,28.3850395691585,656566350.80003,566230700.557408,Bajo,0.7181
Brasil,23.1060426014274,87713983217.24,-101679266525.755,Bajo,0.7658
Bulgaria,83.1854082600635,1093600000,747230000,Muy Alto,0.8165
Burundi,25.5712677181166,81747197.2345183,-395077161.965288,Bajo,0.4331
Camboya,52.5636773667328,1853471158.09921,-1444104699.161,Medio,0.5941
Camerún,15.9724990107675,725854540.914877,-1401974731.54436,Muy bajo,0.5631
Canadá,,64174605785.6347,-41873919951.8706,,0.9291
Chad,27.925672357167,-675545915.4,,Bajo,0.3981
Chile,,23558041868.3533,-5225401385.87947,,0.8514
China,16.9548448908731,268097181064.335,236046577873.629,Muy bajo,0.7618
Chipre,,51738978689.3287,-957946474.88024,,0.8873
Colombia,28.2811571770352,16168701714.7497,-19818544018.1905,Bajo,0.7678
Comoras,12.3146186696963,4684558.67518389,-43458200.0492291,Muy bajo,0.5541
Croacia,,3187415809.47089,95929234.1622552,,0.8514
Cuba,,,,,0.7837
Dinamarca,,6577348986.65252,31353332575.5896,,0.9401
Dominica,55.4980209154685,12349892.8031702,-28176151.4319984,Medio,0.7429
Ecuador,24.9567157419887,772389946.091118,-668742113.604319,Bajo,0.7598
Eritrea,,46511000,,,0.4591
Eslovenia,,1019380613.49717,2548591735.96351,,0.9172
España,,32943256862.6094,22662337678.7699,,0.9042
Estonia,,1781648554.48117,173055018.043069,,0.8922
Etiopía,30.5535498442473,1855052153.64106,-5771532764.96013,Bajo,0.4851
Filipinas,23.2578119127407,5739574024.13183,10755931842.7773,Bajo,0.7181
Finlandia,,17528599997.1117,-3790146118.70018,,0.9381
Francia,,5804878132.66663,-37354496128.6695,,0.9012
Gabón,26.9913513779643,1263109047.12989,1112065880.72226,Bajo,0.7031
Gambia,43.6663907036183,23014092.0424561,-84557301.9463361,Medio,0.4961
Georgia,81.377396286032,1836879042.83,-1784183121.52,Muy Alto,0.8126
Ghana,34.353970222627,3363389444.44444,-3694575338.27762,Bajo,0.6111
Granada,76.9525064420413,106797167.694444,-105302460.913458,Alto,0.7797
Grecia,,2697339246.05446,-3734712056.87206,,0.8883
Guatemala,34.6351904898461,1407555280,-1909306330,Bajo,0.6631
Guinea,21.6417398753124,-73758603.6635933,-981676723.85615,Bajo,0.4771
Guinea,21.6417398753124,-73758603.6635933,-981676723.85615,Bajo,
Guyana,56.3738854500215,237750048.55,-385182803.31344,Medio,0.6821
Honduras,40.8460187641735,1704790710.03868,-1372124152.44885,Medio,0.6341
Hungría,,13060104658.7999,1604607987.09942,,0.8544
India,22.7049090729795,34576643694.1383,-27314281992.5894,Bajo,0.6451
Indonesia,33.9818090631777,25120732059.5134,-27509865798.2326,Bajo,0.7181
Irlanda,,97382259038.5318,2786017662.90395,,0.9552
Islandia,,766775539.042214,776608799.561529,,0.9494
Israel,,6048900000,12670500000,,0.9191
Italia,,17032744039.0435,40034672172.4675,,0.8922
Jamaica,103.980280604015,582148741.614112,-1114354109.20479,Muy Alto,0.7341
Japón,,19752249424.0871,36351469239.9693,,0.9191
Jordania,66.2219307634709,2178450704.22535,-2608028169.01409,Alto,0.7291
Kirguistán,101.783457708143,343010700,-1301273206.34081,Muy Alto,0.6971
Kiribati,,2632144.43660902,56046361.6292338,,0.6301
Kuwait,,485806657.755081,53965916437.5612,,0.8066
Letonia,,1045107101.19761,-530305486.772318,,0.8663
Líbano,135.359043124143,2862509426.6,-12615309907,Muy Alto,0.7449
Liberia,23.5589488469405,501870828.620424,-642544587.949206,Bajo,0.4801
Libia,,0,-19033300000,,0.7241
Liechtenstein,,9340073894.6221,,,0.9191
Lituania,,357323216.168936,1652669235.43275,,0.8823
Luxemburgo,,18892564400,3391095714.44123,,0.9162
Madagascar,24.2268181926076,372872463.262776,-81289492.7580975,Bajo,0.5281
Malasia,,10619431582.9781,14846482442.7808,,0.8106
Maldivas,33.0481821272342,333375218.034334,-117822005.741311,Bajo,0.7409
Malí,24.6316941339617,144023010.605531,-676735614.404713,Bajo,0.4341
